 year doy hour dst
 2021 18 6 0
 2021 18 7 1
 2021 18 8 2
 2021 18 9 3
 2021 18 10 4
 2021 18 11 6
 2021 18 12 6
 2021 18 13 6
 2021 18 14 7
 2021 18 15 8
 2021 18 16 5
 2021 18 17 4
 2021 18 18 3
 2021 18 19 2
 2021 18 20 -2
 2021 18 21 -6
 2021 18 22 -11
 2021 18 23 -11
 2021 19 0 -9
 2021 19 1 -9
 2021 19 2 -12
 2021 19 3 -12
 2021 19 4 -10
 2021 19 5 -7
 2021 19 6 -7
 2021 19 7 -7
 2021 19 8 -8
 2021 19 9 -6
 2021 19 10 -3
 2021 19 11 -2
 2021 19 12 -7
 2021 19 13 -3
 2021 19 14 4
 2021 19 15 4
 2021 19 16 2
 2021 19 17 0
 2021 19 18 -2
 2021 19 19 -3
 2021 19 20 0
 2021 19 21 2
 2021 19 22 1
 2021 19 23 -1
 2021 20 0 0
 2021 20 1 -1
 2021 20 2 3
 2021 20 3 1
 2021 20 4 2
 2021 20 5 0
 2021 20 6 -1
 2021 20 7 -7
 2021 20 8 -9
 2021 20 9 -9
 2021 20 10 -8
 2021 20 11 -3
 2021 20 12 2
 2021 20 13 -1
 2021 20 14 -2
 2021 20 15 -1
 2021 20 16 -2
 2021 20 17 -2
 2021 20 18 5
 2021 20 19 4
 2021 20 20 6
 2021 20 21 2
 2021 20 22 -2
 2021 20 23 -3
 2021 21 0 -2
 2021 21 1 -4
 2021 21 2 -4
 2021 21 3 -3
 2021 21 4 0
 2021 21 5 3
 2021 21 6 2
 2021 21 7 0
 2021 21 8 -2
 2021 21 9 -1
 2021 21 10 -1
 2021 21 11 4
 2021 21 12 5
 2021 21 13 5
 2021 21 14 3
 2021 21 15 0
 2021 21 16 1
 2021 21 17 2
 2021 21 18 4
 2021 21 19 6
 2021 21 20 6
 2021 21 21 6
 2021 21 22 3
 2021 21 23 1
 2021 22 0 -2
 2021 22 1 -5
 2021 22 2 -5
 2021 22 3 -4
 2021 22 4 -1
 2021 22 5 1
 2021 22 6 3
 2021 22 7 5
 2021 22 8 7
 2021 22 9 9
 2021 22 10 9
 2021 22 11 10
 2021 22 12 12
 2021 22 13 12
 2021 22 14 7
 2021 22 15 6
 2021 22 16 4
 2021 22 17 7
 2021 22 18 10
 2021 22 19 8
 2021 22 20 8
 2021 22 21 8
 2021 22 22 3
 2021 22 23 0
 2021 23 0 2
 2021 23 1 -1
 2021 23 2 -1
 2021 23 3 1
 2021 23 4 3
 2021 23 5 5
 2021 23 6 4
 2021 23 7 1
 2021 23 8 0
 2021 23 9 0
 2021 23 10 -3
 2021 23 11 0
 2021 23 12 3
 2021 23 13 4
 2021 23 14 1
 2021 23 15 0
 2021 23 16 2
 2021 23 17 3
 2021 23 18 6
 2021 23 19 9
 2021 23 20 12
 2021 23 21 7
 2021 23 22 -2
 2021 23 23 1
 2021 24 0 1
 2021 24 1 0
 2021 24 2 -2
 2021 24 3 -2
 2021 24 4 -3
 2021 24 5 -7
 2021 24 6 -7
 2021 24 7 -6
 2021 24 8 -8
 2021 24 9 -9
 2021 24 10 -7
 2021 24 11 -4
 2021 24 12 1
 2021 24 13 7
 2021 24 14 12
 2021 24 15 17
 2021 24 16 18
 2021 24 17 16
 2021 24 18 12
 2021 24 19 7
 2021 24 20 3
 2021 24 21 2
 2021 24 22 -6
 2021 24 23 -6
 2021 25 0 1
 2021 25 1 1
 2021 25 2 2
 2021 25 3 -2
 2021 25 4 -1
 2021 25 5 3
 2021 25 6 0
 2021 25 7 -18
 2021 25 8 -31
 2021 25 9 -33
 2021 25 10 -33
 2021 25 11 -28
 2021 25 12 -21
 2021 25 13 -24
 2021 25 14 -26
 2021 25 15 -32
 2021 25 16 -30
 2021 25 17 -29
 2021 25 18 -19
 2021 25 19 -14
 2021 25 20 -11
 2021 25 21 -19
 2021 25 22 -28
 2021 25 23 -29
 2021 26 0 -22
 2021 26 1 -18
 2021 26 2 -25
 2021 26 3 -36
 2021 26 4 -41
 2021 26 5 -40
 2021 26 6 -38
 2021 26 7 -38
 2021 26 8 -36
 2021 26 9 -36
 2021 26 10 -35
 2021 26 11 -31
 2021 26 12 -25
 2021 26 13 -24
 2021 26 14 -22
 2021 26 15 -19
 2021 26 16 -18
 2021 26 17 -22
 2021 26 18 -22
 2021 26 19 -26
 2021 26 20 -24
 2021 26 21 -22
 2021 26 22 -22
 2021 26 23 -19
 2021 27 0 -15
 2021 27 1 -12
 2021 27 2 -16
 2021 27 3 -23
 2021 27 4 -24
 2021 27 5 -23
 2021 27 6 -20
 2021 27 7 -18
 2021 27 8 -20
 2021 27 9 -22
 2021 27 10 -22
 2021 27 11 -24
 2021 27 12 -22
 2021 27 13 -19
 2021 27 14 -18
 2021 27 15 -19
 2021 27 16 -23
 2021 27 17 -22
 2021 27 18 -20
 2021 27 19 -14
 2021 27 20 -11
 2021 27 21 -11
 2021 27 22 -15
 2021 27 23 -13
 2021 28 0 -9
 2021 28 1 -11
 2021 28 2 -11
 2021 28 3 -14
 2021 28 4 -19
 2021 28 5 -22
 2021 28 6 -24
 2021 28 7 -24
 2021 28 8 -24
 2021 28 9 -21
 2021 28 10 -18
 2021 28 11 -17
 2021 28 12 -13
 2021 28 13 -11
 2021 28 14 -11
 2021 28 15 -10
 2021 28 16 -8
 2021 28 17 -8
 2021 28 18 -9
 2021 28 19 -9
 2021 28 20 -9
 2021 28 21 -8
 2021 28 22 -9
 2021 28 23 -8
 2021 29 0 -5
 2021 29 1 -5
 2021 29 2 -7
 2021 29 3 -9
 2021 29 4 -12
 2021 29 5 -12
 2021 29 6 -11
 2021 29 7 -11
 2021 29 8 -12
 2021 29 9 -12
